,Code,Borough,Inner/Outer,GLA_P2017,GLA_H2017,Latitude,Longitude
0,E09000001,City of London,Inner London,8800,5326,51.5155,-0.0922
1,E09000002,Barking and Dagenham,Outer London,209000,78188,51.5607,0.1557
2,E09000003,Barnet,Outer London,389600,151423,51.6252,-0.1517
3,E09000004,Bexley,Outer London,244300,97736,51.4549,0.1505
4,E09000005,Brent,Outer London,332100,121048,51.5588,-0.2817
5,E09000006,Bromley,Outer London,327900,140602,51.4039,0.0198
6,E09000007,Camden,Inner London,242500,107654,51.529,-0.1255
7,E09000008,Croydon,Outer London,386500,159010,51.3714,-0.0977
8,E09000009,Ealing,Outer London,351600,132663,51.513,-0.3089
9,E09000010,Enfield,Outer London,333000,130328,51.6538,-0.0799
10,E09000011,Greenwich,Outer London,280100,113964,51.4892,0.0648
11,E09000012,Hackney,Inner London,274300,115417,51.545,-0.0553
12,E09000013,Hammersmith and Fulham,Inner London,185300,83552,51.4927,-0.2339
13,E09000014,Haringey,Inner London,278000,115608,51.6,-0.1119
14,E09000015,Harrow,Outer London,252300,92557,51.5898,-0.3346
15,E09000016,Havering,Outer London,254300,104098,51.5812,0.1837
16,E09000017,Hillingdon,Outer London,301000,110827,51.5441,-0.476
17,E09000018,Hounslow,Outer London,274200,105887,51.4746,-0.368
18,E09000019,Islington,Inner London,231200,105038,51.5416,-0.1022
19,E09000020,Kensington and Chelsea,Inner London,159000,80200,51.502,-0.1947
20,E09000021,Kingston upon Thames,Outer London,175400,69849,51.4085,-0.3064
21,E09000022,Lambeth,Inner London,328900,144400,51.4607,-0.1163
22,E09000023,Lewisham,Inner London,303400,131076,51.4452,-0.0209
23,E09000024,Merton,Outer London,208100,84201,51.4014,-0.1958
24,E09000025,Newham,Inner London,342900,119172,51.5077,0.0469
25,E09000026,Redbridge,Outer London,304200,110708,51.559,0.0741
26,E09000027,Richmond upon Thames,Outer London,197300,85108,51.4479,-0.326
27,E09000028,Southwark,Inner London,314300,134254,51.5035,-0.0804
28,E09000029,Sutton,Outer London,202600,85243,51.3618,-0.1945
29,E09000030,Tower Hamlets,Inner London,304000,123720,51.5099,-0.0059
30,E09000031,Waltham Forest,Outer London,276200,105981,51.5908,-0.0134
31,E09000032,Wandsworth,Inner London,321000,138149,51.4567,-0.191
32,E09000033,Westminster,Inner London,242100,118975,51.4973,-0.1372
