,Borough,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue category,Venue Category
0,City of London,51.5155,-0.0922,Goodman Steak House Restaurant,51.51439802733941,-0.09074537518056014,Steakhouse,food
1,City of London,51.5155,-0.0922,Hawksmoor Guildhall,51.515647370116184,-0.09099734746424006,Steakhouse,food
2,City of London,51.5155,-0.0922,Daunt Books,51.51398169143981,-0.09299522000314557,Bookstore,shops
3,City of London,51.5155,-0.0922,City Càphê,51.51474961713268,-0.09154479356888842,Vietnamese Restaurant,food
4,City of London,51.5155,-0.0922,The Ned Hotel,51.51375523989037,-0.09006653956021182,Hotel,travel
5,City of London,51.5155,-0.0922,The Merchant House,51.513264,-0.093039,Cocktail Bar,nightlife
6,City of London,51.5155,-0.0922,Ned's Club Upstairs,51.513788692889555,-0.09012400881086845,Roof Deck,travel
7,City of London,51.5155,-0.0922,Ned's Club Downstairs,51.51362231040922,-0.0901448367920373,Lounge,nightlife
8,City of London,51.5155,-0.0922,Manicomio,51.51536891323096,-0.09541400116488372,Italian Restaurant,food
9,City of London,51.5155,-0.0922,Porterford Butchers,51.51303235326847,-0.09373702135804958,Butcher,shops
10,City of London,51.5155,-0.0922,One New Change Rooftop,51.51391176437131,-0.09577454922475599,Roof Deck,travel
11,City of London,51.5155,-0.0922,Coq d'Argent,51.513303279109444,-0.0910358067859018,French Restaurant,food
12,City of London,51.5155,-0.0922,Burger & Lobster,51.51368716465748,-0.09464257378721523,Seafood Restaurant,food
13,City of London,51.5155,-0.0922,Rosslyn,51.51252717199773,-0.09332674977722086,Coffee Shop,food
14,City of London,51.5155,-0.0922,Host,51.51262873320867,-0.09321063204672514,Coffee Shop,food
15,City of London,51.5155,-0.0922,Guildhall Art Gallery,51.51555072911845,-0.09200376728625424,Art Gallery,arts_entertainment
16,City of London,51.5155,-0.0922,Blue Cow Yoga,51.51528559031631,-0.08976422627667482,Yoga Studio,shops
17,City of London,51.5155,-0.0922,M&S Simply Food,51.5135266223072,-0.096169888396353,Grocery Store,shops
18,City of London,51.5155,-0.0922,Guildhall Yard,51.515426082727934,-0.0920614571261829,Plaza,parks_outdoors
19,City of London,51.5155,-0.0922,Apex London Wall Hotel,51.51592789755909,-0.08765545829484747,Hotel,travel
20,City of London,51.5155,-0.0922,Café Nespresso,51.514006,-0.092575,Coffee Shop,food
21,City of London,51.5155,-0.0922,Another Space,51.515052583873825,-0.0903835455775398,Gym / Fitness Center,building
22,City of London,51.5155,-0.0922,Madison,51.51381968475064,-0.09539032987004036,Cocktail Bar,nightlife
23,City of London,51.5155,-0.0922,WeWork Moorgate,51.5181937,-0.0902797,Business Service,building
24,City of London,51.5155,-0.0922,The Trading House,51.51506346595909,-0.09142715063542992,Modern European Restaurant,food
25,City of London,51.5155,-0.0922,Malibu Kitchen,51.513510758666484,-0.09007436447289069,New American Restaurant,food
26,City of London,51.5155,-0.0922,Museum of London,51.518019,-0.09606,History Museum,arts_entertainment
