,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel,Favourite
Abbey Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Acton,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.4,1.0
Addington,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0
Addiscombe,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0
Albany Park,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0
Aldborough Hatch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aldgate,0.04,0.04,0.0,0.0,0.63,0.11,0.03,0.03,0.12,1.0
Aldwych,0.19,0.03,0.0,0.0,0.49,0.09,0.03,0.08,0.09,0.0
Alperton,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.25,0.0,0.0
Anerley,0.0625,0.0,0.0,0.0,0.125,0.125,0.1875,0.1875,0.3125,0.0
Angel,0.054054054054054064,0.027027027027027032,0.0,0.0,0.581081081081081,0.10810810810810813,0.040540540540540536,0.14864864864864866,0.040540540540540536,0.0
Aperfield,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Archway,0.0,0.03125,0.0,0.0,0.5625,0.15625,0.0,0.21875,0.03125,0.0
Ardleigh Green,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0
Arkley,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Arnos Grove,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.5,0.0
Balham,0.0,0.046875,0.0,0.0,0.578125,0.15625,0.0,0.171875,0.046875,0.0
Bankside,0.15625,0.0625,0.0,0.0,0.390625,0.125,0.0625,0.078125,0.125,1.0
Barbican,0.14084507042253522,0.04225352112676056,0.0,0.0,0.4647887323943662,0.14084507042253522,0.11267605633802814,0.014084507042253518,0.08450704225352113,1.0
Barking,0.0,0.05,0.0,0.0,0.35,0.05,0.05,0.35,0.15,0.0
Barkingside,0.125,0.0,0.0,0.0,0.375,0.0,0.125,0.25,0.125,0.0
Barnehurst,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Barnes,0.2222222222222222,0.05555555555555555,0.0,0.0,0.3888888888888889,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.0,0.0
"Barnet (also Chipping Barnet, High Barnet)",0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1.0
Barnet Gate,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0
Barnsbury,0.13333333333333333,0.0,0.0,0.0,0.5,0.06666666666666668,0.1,0.1,0.1,0.0
Battersea,0.011764705882352941,0.023529411764705882,0.0,0.0,0.4941176470588236,0.25882352941176473,0.0,0.18823529411764706,0.023529411764705882,0.0
Bayswater,0.04166666666666666,0.027777777777777776,0.0,0.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.04166666666666666,0.0
Beckenham,0.0,0.0,0.0,0.0,0.5555555555555556,0.19444444444444445,0.027777777777777776,0.16666666666666666,0.05555555555555555,0.0
Beckton,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222,0.0
Becontree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Becontree Heath,0.0,0.125,0.0,0.0,0.125,0.0,0.25,0.375,0.125,0.0
Beddington,0.0,0.09090909090909093,0.0,0.0,0.18181818181818185,0.0,0.0,0.7272727272727273,0.0,0.0
Bedford Park,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0
Belgravia,0.014705882352941175,0.029411764705882356,0.0,0.0,0.4852941176470588,0.07352941176470587,0.05882352941176471,0.2058823529411765,0.1323529411764706,0.0
Bellingham,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0
Belmont,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0
Belsize Park,0.0,0.0,0.0,0.0,0.56,0.12,0.08,0.16,0.08,1.0
Belvedere,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
Bermondsey,0.040816326530612235,0.020408163265306117,0.0,0.0,0.5510204081632653,0.22448979591836732,0.08163265306122447,0.061224489795918366,0.020408163265306117,1.0
Berrylands,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
Bethnal Green,0.0,0.037037037037037035,0.0,0.0,0.5370370370370371,0.14814814814814814,0.05555555555555555,0.2037037037037037,0.018518518518518517,0.0
"Bexley (also Old Bexley, Bexley Village)",0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.1,0.0
Bexleyheath (also Bexley New Town),0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0
Bickley,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0
Biggin Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
Blackfen,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.0
Blackfriars,0.024390243902439025,0.06097560975609756,0.0,0.0,0.5975609756097561,0.1097560975609756,0.0975609756097561,0.04878048780487805,0.06097560975609756,1.0
Blackheath,0.0,0.0,0.0,0.0,0.6923076923076923,0.1153846153846154,0.038461538461538464,0.038461538461538464,0.1153846153846154,0.0
Blackheath Royal Standard,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.375,0.0,0.0
Blackwall,0.0,0.1111111111111111,0.0,0.0,0.2777777777777778,0.1111111111111111,0.0,0.16666666666666666,0.3333333333333333,0.0
Blendon,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0
Bloomsbury,0.07368421052631577,0.021052631578947368,0.0,0.0,0.4526315789473685,0.15789473684210525,0.06315789473684211,0.11578947368421053,0.11578947368421053,1.0
Botany Bay,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
