,Neighbourhood,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel
0,Abbey Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
1,Acton,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.3,0.4
2,Addington,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5
3,Addiscombe,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0
4,Albany Park,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25
5,Aldborough Hatch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,Aldgate,0.04,0.04,0.0,0.0,0.63,0.11,0.03,0.03,0.12
7,Aldwych,0.19,0.03,0.0,0.0,0.49,0.09,0.03,0.08,0.09
8,Alperton,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.25,0.0
9,Anerley,0.0625,0.0,0.0,0.0,0.125,0.125,0.1875,0.1875,0.3125
10,Angel,0.05405405405405406,0.02702702702702703,0.0,0.0,0.581081081081081,0.10810810810810811,0.04054054054054054,0.14864864864864866,0.04054054054054054
11,Aperfield,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
12,Archway,0.0,0.03125,0.0,0.0,0.5625,0.15625,0.0,0.21875,0.03125
13,Ardleigh Green,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0
14,Arkley,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,Arnos Grove,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.5
16,Balham,0.0,0.046875,0.0,0.0,0.578125,0.15625,0.0,0.171875,0.046875
17,Bankside,0.15625,0.0625,0.0,0.0,0.390625,0.125,0.0625,0.078125,0.125
18,Barbican,0.14084507042253522,0.04225352112676056,0.0,0.0,0.4647887323943662,0.14084507042253522,0.11267605633802817,0.014084507042253521,0.08450704225352113
19,Barking,0.0,0.05,0.0,0.0,0.35,0.05,0.05,0.35,0.15
20,Barkingside,0.125,0.0,0.0,0.0,0.375,0.0,0.125,0.25,0.125
21,Barnehurst,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
22,Barnes,0.2222222222222222,0.05555555555555555,0.0,0.0,0.3888888888888889,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.0
23,"Barnet (also Chipping Barnet, High Barnet)",0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25
24,Barnet Gate,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
25,Barnsbury,0.13333333333333333,0.0,0.0,0.0,0.5,0.06666666666666667,0.1,0.1,0.1
26,Battersea,0.011764705882352941,0.023529411764705882,0.0,0.0,0.49411764705882355,0.25882352941176473,0.0,0.18823529411764706,0.023529411764705882
27,Bayswater,0.041666666666666664,0.027777777777777776,0.0,0.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.041666666666666664
28,Beckenham,0.0,0.0,0.0,0.0,0.5555555555555556,0.19444444444444445,0.027777777777777776,0.16666666666666666,0.05555555555555555
29,Beckton,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.5555555555555556,0.2222222222222222
30,Becontree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31,Becontree Heath,0.0,0.125,0.0,0.0,0.125,0.0,0.25,0.375,0.125
32,Beddington,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.7272727272727273,0.0
33,Bedford Park,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.1111111111111111
34,Belgravia,0.014705882352941176,0.029411764705882353,0.0,0.0,0.4852941176470588,0.07352941176470588,0.058823529411764705,0.20588235294117646,0.1323529411764706
35,Bellingham,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.2
36,Belmont,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0
37,Belsize Park,0.0,0.0,0.0,0.0,0.56,0.12,0.08,0.16,0.08
38,Belvedere,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
39,Bermondsey,0.04081632653061224,0.02040816326530612,0.0,0.0,0.5510204081632653,0.22448979591836735,0.08163265306122448,0.061224489795918366,0.02040816326530612
40,Berrylands,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
41,Bethnal Green,0.0,0.037037037037037035,0.0,0.0,0.5370370370370371,0.14814814814814814,0.05555555555555555,0.2037037037037037,0.018518518518518517
42,"Bexley (also Old Bexley, Bexley Village)",0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.2,0.1
43,Bexleyheath (also Bexley New Town),0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0
44,Bickley,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2
45,Biggin Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
46,Blackfen,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2
47,Blackfriars,0.024390243902439025,0.06097560975609756,0.0,0.0,0.5975609756097561,0.10975609756097561,0.0975609756097561,0.04878048780487805,0.06097560975609756
48,Blackheath,0.0,0.0,0.0,0.0,0.6923076923076923,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539
49,Blackheath Royal Standard,0.125,0.0,0.0,0.0,0.25,0.25,0.0,0.375,0.0
50,Blackwall,0.0,0.1111111111111111,0.0,0.0,0.2777777777777778,0.1111111111111111,0.0,0.16666666666666666,0.3333333333333333
51,Blendon,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0
52,Bloomsbury,0.07368421052631578,0.021052631578947368,0.0,0.0,0.45263157894736844,0.15789473684210525,0.06315789473684211,0.11578947368421053,0.11578947368421053
53,Botany Bay,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
54,Bounds Green,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.2,0.06666666666666667,0.2,0.13333333333333333
55,Bow,0.0,0.0,0.0,0.0,0.5217391304347826,0.21739130434782608,0.0,0.2608695652173913,0.0
56,Bowes Park,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666
57,Brent Cross,0.0,0.020833333333333332,0.0,0.0,0.3958333333333333,0.0,0.041666666666666664,0.5416666666666666,0.0
58,Brent Park,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
59,Brentford,0.0,0.0,0.0,0.0,0.5,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.07692307692307693
60,Brimsdown,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0
61,Brixton,0.14285714285714285,0.047619047619047616,0.0,0.0,0.47619047619047616,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.0
62,Brockley,0.1111111111111111,0.05555555555555555,0.0,0.0,0.3888888888888889,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111
63,Bromley,0.0,0.08333333333333333,0.0,0.0,0.7083333333333334,0.125,0.0,0.08333333333333333,0.0
64,Bromley (also Bromley-by-Bow),0.07142857142857142,0.07142857142857142,0.0,0.0,0.14285714285714285,0.21428571428571427,0.0,0.21428571428571427,0.2857142857142857
65,Bromley Common,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
66,Brondesbury,0.0,0.0,0.0,0.0,0.64,0.12,0.0,0.08,0.16
67,Brunswick Park,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
68,Bulls Cross,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0
69,Burnt Oak,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
70,"Burroughs, The",0.0,0.0625,0.0625,0.0,0.5625,0.0625,0.0625,0.125,0.0625
71,Camberwell,0.05454545454545454,0.03636363636363636,0.0,0.0,0.5636363636363636,0.12727272727272726,0.03636363636363636,0.09090909090909091,0.09090909090909091
72,Cambridge Heath,0.10416666666666667,0.0625,0.0,0.0,0.4375,0.16666666666666666,0.0625,0.125,0.041666666666666664
73,Camden Town,0.05102040816326531,0.01020408163265306,0.0,0.0,0.5510204081632653,0.16326530612244897,0.04081632653061224,0.15306122448979592,0.030612244897959183
74,Canary Wharf,0.03,0.04,0.0,0.0,0.65,0.03,0.11,0.1,0.04
75,Cann Hall,0.0,0.1111111111111111,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.3333333333333333,0.0
76,Canning Town,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285
77,Canonbury,0.05555555555555555,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.0,0.0
78,Carshalton,0.0,0.0,0.0,0.0,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.21428571428571427
79,Castelnau,0.0,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0
80,Castle Green,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
81,Catford,0.03125,0.0,0.0,0.0,0.375,0.09375,0.0,0.34375,0.15625
